"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2024","584.59","584.07","585.39","582.58","37.42M","0.38%"
"10/17/2024","582.35","585.91","586.12","582.16","34.39M","0.01%"
"10/16/2024","582.30","579.78","582.83","578.96","30.73M","0.43%"
"10/15/2024","579.78","584.59","584.90","578.54","54.20M","-0.78%"
"10/14/2024","584.32","581.22","585.27","580.73","36.22M","0.82%"
"10/11/2024","579.58","576.05","580.33","575.91","42.27M","0.60%"
"10/10/2024","576.13","575.77","577.58","574.49","44.14M","-0.18%"
"10/09/2024","577.14","573.16","577.71","572.55","37.91M","0.69%"
"10/08/2024","573.17","570.42","573.78","569.53","37.40M","0.95%"
"10/07/2024","567.80","571.30","571.96","566.63","49.96M","-0.90%"
"10/04/2024","572.98","572.35","573.36","568.10","43.01M","0.91%"
"10/03/2024","567.82","567.36","569.80","565.49","40.85M","-0.18%"
"10/02/2024","568.86","567.71","569.90","565.27","38.10M","0.04%"
"10/01/2024","568.62","573.40","574.06","566.00","72.67M","-0.90%"
"09/30/2024","573.76","570.42","574.38","568.08","63.66M","0.40%"
"09/27/2024","571.47","573.39","574.22","570.42","42.10M","-0.15%"
"09/26/2024","572.30","574.38","574.71","569.90","48.34M","0.40%"
"09/25/2024","570.04","571.14","571.89","568.91","38.43M","-0.22%"
"09/24/2024","571.30","570.48","571.36","567.60","46.81M","0.29%"
"09/23/2024","569.67","569.34","570.33","568.10","44.12M","0.25%"
"09/20/2024","568.25","567.84","569.31","565.17","77.50M","-0.48%"
"09/19/2024","570.98","571.01","572.88","568.08","75.32M","1.71%"
"09/18/2024","561.40","563.74","568.69","560.83","59.04M","-0.30%"
"09/17/2024","563.07","565.10","566.58","560.79","49.32M","0.04%"
"09/16/2024","562.84","561.74","563.11","559.90","36.66M","0.15%"
"09/13/2024","562.01","559.71","563.03","559.45","39.31M","0.52%"
"09/12/2024","559.09","555.01","559.40","552.74","51.89M","0.84%"
"09/11/2024","554.42","548.70","555.36","539.96","75.25M","1.03%"
"09/10/2024","548.79","548.36","549.15","543.38","36.39M","0.44%"
"09/09/2024","546.41","544.65","547.71","542.68","40.45M","1.12%"
"09/06/2024","540.36","549.94","551.60","539.44","68.49M","-1.68%"
"09/05/2024","549.61","550.89","553.80","547.10","44.26M","-0.24%"
"09/04/2024","550.95","550.20","554.43","549.46","47.22M","-0.20%"
"09/03/2024","552.08","560.47","560.81","549.51","60.60M","-2.06%"
"08/30/2024","563.68","560.77","564.20","557.14","62.70M","0.95%"
"08/29/2024","558.35","560.31","563.68","557.18","38.72M","0.01%"
"08/28/2024","558.30","561.21","561.65","555.04","41.07M","-0.58%"
"08/27/2024","561.56","559.49","562.06","558.32","32.69M","0.14%"
"08/26/2024","560.79","563.18","563.91","559.05","35.79M","-0.24%"
"08/23/2024","562.13","559.53","563.09","557.29","50.64M","1.06%"
"08/22/2024","556.22","562.56","563.18","554.98","56.12M","-0.78%"
"08/21/2024","560.62","559.77","562.11","554.73","41.51M","0.34%"
"08/20/2024","558.70","559.15","560.84","557.33","33.73M","-0.16%"
"08/19/2024","559.61","554.73","559.61","553.86","39.12M","0.96%"
"08/16/2024","554.31","551.42","555.02","551.26","44.43M","0.22%"
"08/15/2024","553.07","549.50","553.36","548.88","60.85M","1.71%"
"08/14/2024","543.75","542.85","544.96","540.12","42.45M","0.32%"
"08/13/2024","542.04","536.53","542.28","536.28","52.33M","1.64%"
"08/12/2024","533.27","534.21","535.73","530.95","42.54M","0.05%"
"08/09/2024","532.99","529.81","534.51","528.56","45.62M","0.44%"
"08/08/2024","530.65","523.91","531.29","521.84","63.28M","2.31%"
"08/07/2024","518.66","528.47","531.59","518.05","70.70M","-0.67%"
"08/06/2024","522.15","519.22","529.75","517.87","84.83M","0.92%"
"08/05/2024","517.38","511.64","523.58","510.27","146.27M","-2.91%"
"08/02/2024","532.90","535.75","536.99","528.60","82.79M","-1.86%"
"08/01/2024","543.01","552.57","554.87","539.43","76.43M","-1.42%"
"07/31/2024","550.81","548.98","553.50","547.58","65.66M","1.63%"
"07/30/2024","542.00","546.26","547.34","538.52","46.85M","-0.51%"
"07/29/2024","544.76","546.02","547.05","542.72","39.52M","0.06%"
"07/26/2024","544.44","542.28","547.19","541.49","53.76M","1.12%"
"07/25/2024","538.41","541.35","547.46","537.45","61.16M","-0.52%"
"07/24/2024","541.23","548.86","549.17","540.29","74.52M","-2.27%"
"07/23/2024","553.78","554.54","556.73","553.28","34.44M","-0.16%"
"07/22/2024","554.65","553.00","555.27","551.02","43.35M","1.03%"
"07/19/2024","548.99","552.42","554.08","547.91","65.51M","-0.66%"
"07/18/2024","552.66","558.51","559.52","550.43","56.27M","-0.77%"
"07/17/2024","556.94","558.80","560.51","556.61","57.12M","-1.40%"
"07/16/2024","564.86","562.86","565.16","562.10","36.48M","0.59%"
"07/15/2024","561.53","562.03","564.84","559.63","40.58M","0.28%"
"07/12/2024","559.99","557.63","563.67","557.15","53.08M","0.63%"
"07/11/2024","556.48","561.44","562.33","555.83","53.05M","-0.86%"
"07/10/2024","561.32","557.07","561.67","556.77","38.70M","0.99%"
"07/09/2024","555.82","556.26","557.18","555.52","27.31M","0.10%"
"07/08/2024","555.28","555.44","556.25","554.19","36.11M","0.12%"
"07/05/2024","554.64","551.77","555.05","551.12","41.49M","0.58%"
"07/03/2024","551.46","548.69","551.83","548.65","32.79M","0.45%"
"07/02/2024","549.01","543.70","549.01","543.65","40.43M","0.67%"
"07/01/2024","545.34","545.63","545.88","542.52","40.30M","0.21%"
"06/28/2024","544.22","547.16","550.28","542.95","76.14M","-0.39%"
"06/27/2024","546.37","545.37","546.96","544.61","35.04M","0.16%"
"06/26/2024","545.51","543.69","546.24","543.03","38.55M","0.12%"
"06/25/2024","544.83","543.99","545.20","542.44","38.27M","0.39%"
"06/24/2024","542.74","544.33","546.95","542.62","45.53M","-0.33%"
"06/21/2024","544.51","544.40","545.65","543.02","64.51M","-0.46%"
"06/20/2024","547.00","549.44","550.12","545.18","70.33M","-0.27%"
"06/18/2024","548.49","547.16","548.62","546.73","41.38M","0.25%"
"06/17/2024","547.10","542.08","548.53","541.61","55.84M","0.80%"
"06/14/2024","542.78","540.88","542.81","539.85","40.09M","0.06%"
"06/13/2024","542.45","543.15","543.33","539.59","44.76M","0.20%"
"06/12/2024","541.36","541.63","544.12","540.30","63.25M","0.82%"
"06/11/2024","536.95","534.07","537.01","532.05","36.38M","0.24%"
"06/10/2024","535.66","533.18","535.99","532.57","35.73M","0.31%"
"06/07/2024","534.01","533.66","536.89","532.53","43.22M","-0.12%"
"06/06/2024","534.66","534.98","535.42","532.68","30.81M","0.00%"
"06/05/2024","534.67","530.77","534.69","528.73","47.61M","1.19%"
"06/04/2024","528.39","526.46","529.15","524.96","34.63M","0.11%"
"06/03/2024","527.80","529.02","529.31","522.60","46.84M","0.08%"
"05/31/2024","527.37","523.59","527.50","518.36","90.79M","0.91%"
"05/30/2024","522.61","524.52","525.20","521.33","46.47M","-0.66%"
"05/29/2024","526.10","525.68","527.31","525.37","45.19M","-0.70%"
"05/28/2024","529.81","530.27","530.51","527.11","36.27M","0.07%"
"05/24/2024","529.44","527.85","530.27","526.88","41.29M","0.66%"
"05/23/2024","525.96","532.96","533.07","524.72","57.21M","-0.73%"
"05/22/2024","529.83","530.65","531.38","527.60","48.39M","-0.29%"
"05/21/2024","531.36","529.28","531.52","529.07","33.44M","0.25%"
"05/20/2024","530.06","529.57","531.56","529.17","37.76M","0.12%"
"05/17/2024","529.45","528.81","529.52","527.32","59.19M","0.14%"
"05/16/2024","528.69","529.88","531.52","528.54","50.24M","-0.21%"
"05/15/2024","529.78","525.83","530.08","525.18","59.50M","1.24%"
"05/14/2024","523.30","521.11","523.83","520.56","57.54M","0.46%"
"05/13/2024","520.91","522.56","522.67","519.74","36.72M","0.01%"
"05/10/2024","520.84","521.81","522.64","519.59","52.23M","0.13%"
"05/09/2024","520.17","517.38","520.21","516.71","43.64M","0.58%"
"05/08/2024","517.19","515.26","517.74","515.14","42.05M","0.01%"
"05/07/2024","517.14","517.56","518.57","516.45","52.56M","0.11%"
"05/06/2024","516.57","513.75","516.61","513.30","47.26M","1.03%"
"05/03/2024","511.29","511.16","512.55","508.56","72.76M","1.24%"
"05/02/2024","505.03","504.15","505.89","499.55","62.55M","0.94%"
"05/01/2024","500.35","501.38","508.19","499.86","80.24M","-0.32%"
"04/30/2024","501.98","508.56","509.56","501.98","77.48M","-1.58%"
"04/29/2024","510.06","510.09","510.75","507.25","46.42M","0.35%"
"04/26/2024","508.26","506.35","509.88","505.70","64.31M","0.95%"
"04/25/2024","503.49","499.18","504.27","497.49","69.12M","-0.38%"
"04/24/2024","505.41","506.56","507.37","503.13","55.93M","-0.05%"
"04/23/2024","505.65","501.78","506.09","499.53","64.63M","1.19%"
"04/22/2024","499.72","497.83","502.38","495.43","67.96M","0.92%"
"04/19/2024","495.16","499.44","500.45","493.86","102.21M","-0.87%"
"04/18/2024","499.52","501.98","504.13","498.56","74.55M","-0.21%"
"04/17/2024","500.55","506.05","506.22","499.12","75.91M","-0.59%"
"04/16/2024","503.53","504.94","506.50","502.21","73.48M","-0.18%"
"04/15/2024","504.45","515.13","515.30","503.58","92.10M","-1.25%"
"04/12/2024","510.85","514.37","515.82","509.08","92.56M","-1.38%"
"04/11/2024","518.00","515.68","519.48","512.08","70.10M","0.75%"
"04/10/2024","514.12","513.48","516.16","512.09","82.65M","-1.00%"
"04/09/2024","519.32","520.50","520.75","514.35","68.12M","0.12%"
"04/08/2024","518.72","519.15","520.18","517.89","48.40M","0.06%"
"04/05/2024","518.43","514.46","520.44","514.01","74.55M","1.04%"
"04/04/2024","513.07","523.52","523.87","512.76","96.86M","-1.22%"
"04/03/2024","519.41","517.72","520.95","517.66","59.16M","0.11%"
"04/02/2024","518.84","518.24","518.98","516.48","74.23M","-0.64%"
"04/01/2024","522.16","523.83","524.38","520.97","62.48M","-0.17%"
"03/28/2024","523.07","523.21","524.61","522.78","96.29M","-0.02%"
"03/27/2024","523.17","521.71","523.21","519.48","83.00M","0.84%"
"03/26/2024","518.81","521.23","521.58","518.40","65.46M","-0.18%"
"03/25/2024","519.77","519.80","520.95","519.61","48.51M","-0.28%"
"03/22/2024","521.21","522.11","522.60","520.97","79.07M","-0.19%"
"03/21/2024","522.20","523.39","524.11","521.91","60.26M","0.33%"
"03/20/2024","520.48","515.77","520.62","515.08","69.59M","0.92%"
"03/19/2024","515.71","512.15","515.99","511.12","60.76M","0.56%"
"03/18/2024","512.86","514.00","515.48","512.44","88.89M","0.59%"
"03/15/2024","509.83","510.21","511.70","508.12","107.65M","-0.99%"
"03/14/2024","514.95","516.97","517.13","511.82","110.17M","-0.20%"
"03/13/2024","515.97","517.11","517.29","514.49","55.10M","-0.16%"
"03/12/2024","516.78","513.45","517.38","510.86","73.11M","1.08%"
"03/11/2024","511.28","510.48","511.88","508.50","62.56M","-0.09%"
"03/08/2024","511.72","515.46","518.22","511.13","86.53M","-0.60%"
"03/07/2024","514.81","513.14","515.89","509.81","58.65M","0.99%"
"03/06/2024","509.75","510.55","512.07","508.42","68.38M","0.51%"
"03/05/2024","507.18","510.24","510.70","504.91","72.86M","-1.00%"
"03/04/2024","512.30","512.03","514.20","512.00","49.80M","-0.11%"
"03/01/2024","512.85","508.98","513.29","508.56","76.84M","0.94%"
"02/29/2024","508.08","508.07","509.74","505.35","83.92M","0.36%"
"02/28/2024","506.26","505.33","506.86","504.96","56.51M","-0.13%"
"02/27/2024","506.93","506.70","507.16","504.75","48.85M","0.19%"
"02/26/2024","505.99","508.30","508.75","505.86","50.39M","-0.37%"
"02/23/2024","507.85","509.27","510.13","507.10","61.32M","0.07%"
"02/22/2024","507.50","504.01","508.49","503.02","76.40M","2.07%"
"02/21/2024","497.21","495.42","497.37","493.56","59.60M","0.09%"
"02/20/2024","496.76","497.72","498.41","494.45","71.74M","-0.55%"
"02/16/2024","499.51","501.70","502.87","498.75","75.53M","-0.50%"
"02/15/2024","502.01","499.29","502.20","498.80","61.68M","0.69%"
"02/14/2024","498.57","496.79","499.07","494.40","68.39M","0.91%"
"02/13/2024","494.08","494.53","497.09","490.71","113.10M","-1.38%"
"02/12/2024","500.98","501.17","503.50","500.24","56.50M","-0.04%"
"02/09/2024","501.20","498.84","501.65","498.49","63.98M","0.58%"
"02/08/2024","498.32","498.10","498.71","497.26","52.34M","0.04%"
"02/07/2024","498.10","496.29","498.53","495.36","70.56M","0.83%"
"02/06/2024","493.98","493.52","494.32","492.05","55.92M","0.29%"
"02/05/2024","492.55","493.70","494.38","490.23","75.76M","-0.36%"
"02/02/2024","494.35","489.65","496.05","489.30","99.23M","1.05%"
"02/01/2024","489.20","484.63","489.23","483.80","91.89M","1.31%"
"01/31/2024","482.88","488.62","489.08","482.86","126.01M","-1.63%"
"01/30/2024","490.89","490.56","491.62","490.11","58.62M","-0.08%"
"01/29/2024","491.27","487.73","491.42","487.17","61.32M","0.79%"
"01/26/2024","487.41","487.59","489.12","486.54","76.64M","-0.13%"
"01/25/2024","488.03","487.58","488.30","485.39","72.52M","0.54%"
"01/24/2024","485.39","487.81","488.77","484.88","81.77M","0.11%"
"01/23/2024","484.86","484.01","485.11","482.89","49.95M","0.29%"
"01/22/2024","483.45","484.01","485.22","482.78","75.84M","0.21%"
"01/19/2024","482.43","477.65","482.72","476.54","110.83M","1.25%"
"01/18/2024","476.49","474.01","477.06","472.42","91.86M","0.89%"
"01/17/2024","472.29","471.82","472.79","469.87","68.84M","-0.56%"
"01/16/2024","474.93","475.26","476.61","473.06","85.01M","-0.37%"
"01/12/2024","476.68","477.84","478.60","475.23","58.03M","0.07%"
"01/11/2024","476.35","477.59","478.12","472.26","77.94M","-0.04%"
"01/10/2024","476.56","474.16","477.45","473.87","67.31M","0.57%"
"01/09/2024","473.88","471.87","474.93","471.35","65.93M","-0.15%"
"01/08/2024","474.60","468.43","474.75","468.30","74.88M","1.43%"
"01/05/2024","467.92","467.49","470.44","466.43","86.12M","0.14%"
"01/04/2024","467.28","468.30","470.96","467.05","84.23M","-0.32%"
"01/03/2024","468.79","470.43","471.19","468.17","103.59M","-0.82%"
"01/02/2024","472.65","472.16","473.67","470.49","123.01M","-0.56%"
"12/29/2023","475.31","476.49","477.03","473.30","122.28M","-0.29%"
"12/28/2023","476.69","476.88","477.55","476.26","77.16M","0.04%"
"12/27/2023","476.51","475.44","476.66","474.89","68.00M","0.18%"
"12/26/2023","475.65","474.07","476.58","473.99","55.39M","0.42%"
"12/22/2023","473.65","473.86","475.38","471.70","67.16M","0.20%"
"12/21/2023","472.70","471.33","472.98","468.84","86.67M","0.95%"
"12/20/2023","468.26","473.96","475.89","467.82","102.92M","-1.39%"
"12/19/2023","474.84","472.53","474.92","472.45","55.76M","0.61%"
"12/18/2023","471.97","470.98","472.98","469.89","70.38M","0.56%"
"12/15/2023","469.33","469.49","470.70","467.43","141.55M","-0.57%"
"12/14/2023","472.01","472.50","473.73","469.25","119.03M","0.32%"
"12/13/2023","470.50","464.49","470.76","464.12","93.28M","1.38%"
"12/12/2023","464.10","461.63","464.20","460.60","68.33M","0.46%"
"12/11/2023","461.99","459.69","462.17","459.47","65.00M","0.39%"
"12/08/2023","460.20","457.46","460.74","457.21","83.19M","0.43%"
"12/07/2023","458.23","456.91","458.90","456.29","67.00M","0.76%"
"12/06/2023","454.76","458.81","458.84","454.31","69.12M","-0.40%"
"12/05/2023","456.60","455.26","457.59","454.87","69.79M","-0.02%"
"12/04/2023","456.69","455.60","459.12","454.34","72.43M","-0.52%"
"12/01/2023","459.10","455.77","459.65","455.16","89.18M","0.59%"
"11/30/2023","456.40","455.48","456.76","453.34","79.75M","0.39%"
"11/29/2023","454.61","457.15","458.32","454.20","63.15M","-0.07%"
"11/28/2023","454.93","454.08","456.27","453.50","62.12M","0.10%"
"11/27/2023","454.48","454.65","455.49","454.08","50.51M","-0.18%"
"11/24/2023","455.30","455.07","455.50","454.73","29.74M","0.06%"
"11/22/2023","455.02","454.98","456.38","453.89","59.45M","0.39%"
"11/21/2023","453.27","453.18","454.13","451.96","49.24M","-0.22%"
"11/20/2023","454.26","450.53","455.13","450.52","70.06M","0.77%"
"11/17/2023","450.79","450.24","451.42","449.29","83.19M","0.12%"
"11/16/2023","450.23","449.22","450.56","448.12","66.67M","0.12%"
"11/15/2023","449.68","450.11","451.38","448.80","77.33M","0.21%"
"11/14/2023","448.73","446.32","450.06","446.09","97.18M","1.94%"
"11/13/2023","440.19","439.23","441.33","438.42","52.24M","-0.10%"
"11/10/2023","440.61","435.98","440.93","433.83","89.56M","1.56%"
"11/09/2023","433.84","438.43","438.47","433.40","83.17M","-0.78%"
"11/08/2023","437.25","437.55","438.09","434.87","61.75M","0.07%"
"11/07/2023","436.93","435.69","437.58","434.51","64.26M","0.28%"
"11/06/2023","435.69","435.47","436.15","433.68","67.83M","0.23%"
"11/03/2023","434.69","433.14","436.29","433.01","100.17M","0.91%"
"11/02/2023","430.76","426.58","430.92","426.56","94.94M","1.92%"
"11/01/2023","422.66","419.20","423.50","418.65","98.07M","1.07%"
"10/31/2023","418.20","416.18","418.53","414.21","79.67M","0.63%"
"10/30/2023","415.59","413.56","416.68","412.22","86.56M","1.20%"
"10/27/2023","410.68","414.19","414.60","409.21","107.37M","-0.45%"
"10/26/2023","412.55","416.45","417.33","411.60","115.16M","-1.20%"
"10/25/2023","417.55","421.89","421.92","417.02","94.22M","-1.44%"
"10/24/2023","423.63","422.65","424.82","420.74","78.56M","0.75%"
"10/23/2023","420.46","419.61","424.45","417.80","92.04M","-0.17%"
"10/20/2023","421.19","425.98","426.54","421.08","123.92M","-1.23%"
"10/19/2023","426.43","430.95","432.82","425.73","121.32M","-0.88%"
"10/18/2023","430.21","434.19","435.18","429.09","93.56M","-1.33%"
"10/17/2023","436.02","432.81","438.14","432.45","75.32M","0.00%"
"10/16/2023","436.04","433.82","437.14","433.57","75.43M","1.05%"
"10/13/2023","431.50","435.21","436.45","429.88","95.20M","-0.50%"
"10/12/2023","433.66","436.95","437.33","431.23","81.15M","-0.61%"
"10/11/2023","436.32","435.64","436.58","433.18","62.45M","0.41%"
"10/10/2023","434.54","432.94","437.22","432.53","78.61M","0.52%"
"10/09/2023","432.29","427.58","432.88","427.01","80.37M","0.64%"
"10/06/2023","429.54","421.97","431.13","420.60","113.27M","1.19%"
"10/05/2023","424.50","424.36","425.37","421.17","70.14M","-0.04%"
"10/04/2023","424.66","422.07","425.43","420.56","87.45M","0.73%"
"10/03/2023","421.59","425.06","427.37","420.18","103.76M","-1.34%"
"10/02/2023","427.31","426.62","428.60","424.46","83.80M","-0.04%"
"09/29/2023","427.48","431.67","431.85","425.91","115.11M","-0.24%"
"09/28/2023","428.52","425.48","430.25","424.87","92.26M","0.58%"
"09/27/2023","426.05","427.09","427.67","422.29","104.71M","0.04%"
"09/26/2023","425.88","429.09","429.82","425.02","96.17M","-1.47%"
"09/25/2023","432.23","429.17","432.27","428.72","70.87M","0.42%"
"09/22/2023","430.42","432.45","434.10","429.99","100.83M","-0.22%"
"09/21/2023","431.39","435.70","435.97","431.23","104.10M","-1.65%"
"09/20/2023","438.64","444.01","444.43","438.43","82.56M","-0.92%"
"09/19/2023","442.71","442.68","443.29","439.94","66.51M","-0.21%"
"09/18/2023","443.63","443.05","444.97","442.56","55.75M","0.06%"
"09/15/2023","443.37","447.14","447.48","442.92","111.85M","-1.55%"
"09/14/2023","450.36","449.07","451.08","447.71","83.43M","0.86%"
"09/13/2023","446.51","446.22","447.71","445.08","60.20M","0.12%"
"09/12/2023","445.99","446.95","448.53","445.39","67.57M","-0.55%"
"09/11/2023","448.45","448.24","448.77","446.47","60.18M","0.66%"
"09/08/2023","445.52","444.90","447.11","444.53","62.07M","0.15%"
"09/07/2023","444.85","443.11","445.55","442.75","70.36M","-0.31%"
"09/06/2023","446.22","448.40","448.51","443.81","70.76M","-0.67%"
"09/05/2023","449.24","450.73","451.06","449.17","55.17M","-0.43%"
"09/01/2023","451.19","453.17","453.67","449.68","58.94M","0.19%"
"08/31/2023","450.35","451.65","452.83","450.16","66.08M","-0.15%"
"08/30/2023","451.01","449.51","451.67","448.78","69.05M","0.41%"
"08/29/2023","449.16","442.65","449.45","442.46","83.08M","1.45%"
"08/28/2023","442.76","442.24","443.40","439.97","61.60M","0.63%"
"08/25/2023","439.97","438.68","441.30","435.00","102.33M","0.70%"
"08/24/2023","436.89","444.69","445.22","436.86","88.52M","-1.39%"
"08/23/2023","443.03","439.25","443.67","439.10","68.44M","1.11%"
"08/22/2023","438.15","441.18","441.18","437.57","65.06M","-0.27%"
"08/21/2023","439.34","437.55","440.11","435.32","68.72M","0.65%"
"08/18/2023","436.50","433.37","437.57","433.01","98.85M","0.05%"
"08/17/2023","436.29","441.16","441.43","435.75","95.71M","-0.76%"
"08/16/2023","439.64","442.46","444.18","439.53","80.11M","-0.73%"
"08/15/2023","442.89","446.27","446.64","442.30","75.71M","-1.16%"
"08/14/2023","448.11","444.70","448.11","444.38","47.87M","0.55%"
"08/11/2023","445.65","443.97","446.70","443.35","68.69M","-0.06%"
"08/10/2023","445.91","448.19","451.70","444.70","93.01M","0.04%"
"08/09/2023","445.75","449.03","449.20","444.96","78.79M","-0.67%"
"08/08/2023","448.75","448.08","450.70","445.27","71.36M","-0.43%"
"08/07/2023","450.71","448.71","450.86","447.99","58.36M","0.87%"
"08/04/2023","446.81","450.72","452.89","446.27","100.13M","-0.45%"
"08/03/2023","448.84","448.04","450.79","447.37","64.42M","-0.29%"
"08/02/2023","450.13","453.25","453.52","449.35","93.93M","-1.39%"
"08/01/2023","456.48","456.27","457.25","455.49","55.50M","-0.29%"
"07/31/2023","457.79","457.41","458.16","456.05","62.04M","0.19%"
"07/28/2023","456.92","455.88","457.78","452.49","80.01M","0.98%"
"07/27/2023","452.49","459.02","459.44","451.55","92.19M","-0.66%"
"07/26/2023","455.51","454.47","456.99","453.38","71.05M","0.02%"
"07/25/2023","455.44","453.92","456.73","453.87","55.19M","0.27%"
"07/24/2023","454.20","453.37","455.04","452.30","54.02M","0.45%"
"07/21/2023","452.18","453.96","454.17","452.17","71.28M","0.00%"
"07/20/2023","452.18","454.17","455.10","451.44","70.59M","-0.66%"
"07/19/2023","455.20","455.01","456.43","454.11","65.89M","0.22%"
"07/18/2023","454.19","450.50","454.86","450.05","80.74M","0.74%"
"07/17/2023","450.84","449.13","451.93","449.08","52.68M","0.35%"
"07/14/2023","449.28","450.48","451.36","448.49","69.82M","-0.06%"
"07/13/2023","449.56","447.90","450.38","447.45","72.43M","0.79%"
"07/12/2023","446.02","446.39","447.48","444.91","91.92M","0.80%"
"07/11/2023","442.46","440.45","442.97","439.44","64.46M","0.64%"
"07/10/2023","439.66","438.18","439.84","437.58","62.44M","0.25%"
"07/07/2023","438.55","438.63","442.64","438.30","86.13M","-0.25%"
"07/06/2023","439.66","439.42","440.10","437.06","80.66M","-0.78%"
"07/05/2023","443.13","441.91","443.89","441.90","58.42M","-0.15%"
"07/03/2023","443.79","442.92","444.08","442.63","32.79M","0.12%"
"06/30/2023","443.28","441.44","444.30","441.11","104.96M","1.18%"
"06/29/2023","438.11","435.96","438.28","435.54","67.88M","0.39%"
"06/28/2023","436.39","435.05","437.44","434.41","75.64M","0.05%"
"06/27/2023","436.17","432.35","436.81","431.88","72.81M","1.10%"
"06/26/2023","431.44","432.62","434.61","431.19","72.82M","-0.41%"
"06/23/2023","433.21","432.93","435.06","432.47","92.07M","-0.76%"
"06/22/2023","436.51","433.95","436.62","433.60","70.64M","0.36%"
"06/21/2023","434.94","436.16","436.99","434.33","76.98M","-0.51%"
"06/20/2023","437.18","437.45","438.37","435.03","76.16M","-0.52%"
"06/16/2023","439.46","443.02","443.61","438.97","114.17M","-0.71%"
"06/15/2023","442.60","436.33","443.90","436.23","110.30M","1.24%"
"06/14/2023","437.18","437.01","439.06","433.59","100.61M","0.12%"
"06/13/2023","436.66","435.32","437.33","434.63","95.90M","0.66%"
"06/12/2023","433.80","430.92","433.88","430.17","76.26M","0.91%"
"06/09/2023","429.90","429.96","431.99","428.87","85.65M","0.18%"
"06/08/2023","429.13","426.62","429.60","425.82","61.95M","0.60%"
"06/07/2023","426.55","428.44","429.62","426.11","85.37M","-0.35%"
"06/06/2023","428.03","426.67","428.58","425.99","64.02M","0.22%"
"06/05/2023","427.10","428.28","429.67","426.37","70.32M","-0.19%"
"06/02/2023","427.92","424.50","428.74","423.95","91.43M","1.45%"
"06/01/2023","421.82","418.09","422.92","416.79","88.87M","0.95%"
"05/31/2023","417.85","418.28","419.22","416.22","110.81M","-0.55%"
"05/30/2023","420.18","422.03","422.58","418.73","72.22M","0.04%"
"05/26/2023","420.02","415.33","420.77","415.25","93.83M","1.30%"
